input_length,output_length,max_batch_size
1024,128,31
1024,256,31
1024,512,31
1024,1024,25
1024,2048,16
1024,158,31
1024,289,31
1024,548,31
1024,1132,23
1024,2079,16
2048,128,16
2048,256,16
2048,512,16
2048,1024,16
2048,2048,13
2048,158,16
2048,289,16
2048,548,16
2048,1132,16
2048,2079,12
4096,128,8
4096,256,8
4096,512,8
4096,1024,8
4096,2048,8
4096,158,8
4096,289,8
4096,548,8
4096,1132,8
4096,2079,8
8192,128,4
8192,256,4
8192,512,4
8192,1024,4
8192,2048,4
8192,158,4
8192,289,4
8192,548,4
8192,1132,4
8192,2079,4
1537,128,21
1537,256,21
1537,512,21
1537,1024,21
1537,2048,13
1537,158,21
1537,289,21
1537,548,21
1537,1132,19
1537,2079,13
2347,128,14
2347,256,14
2347,512,14
2347,1024,14
2347,2048,13
2347,158,14
2347,289,14
2347,548,14
2347,1132,14
2347,2079,13
5139,128,7
5139,256,7
5139,512,7
5139,1024,7
5139,2048,7
5139,158,7
5139,289,7
5139,548,7
5139,1132,7
5139,2079,7
7133,128,5
7133,256,5
7133,512,5
7133,1024,5
7133,2048,5
7133,158,5
7133,289,5
7133,548,5
7133,1132,5
7133,2079,5
