input_length,output_length,max_batch_size,calculated_max_batch_size,calculated_max_batch_size_apxml,calculated_max_batch_size_asmirnov,delta_computation,delta_apxml,delta_asmirnov
1024,128,31,21,12.0,25,10,19.0,6
1024,256,31,19,12.0,25,12,19.0,6
1024,512,31,16,12.0,25,15,19.0,6
1024,1024,25,12,12.0,25,13,13.0,0
1024,2048,16,8,12.0,25,8,4.0,-9
1024,158,31,21,12.0,25,10,19.0,6
1024,289,31,18,12.0,25,13,19.0,6
1024,548,31,15,12.0,25,16,19.0,6
1024,1132,23,11,12.0,25,12,11.0,-2
1024,2079,16,8,12.0,25,8,4.0,-9
2048,128,16,11,6.0,8,5,10.0,8
2048,256,16,10,6.0,8,6,10.0,8
2048,512,16,9,6.0,8,7,10.0,8
2048,1024,16,8,6.0,8,8,10.0,8
2048,2048,13,6,6.0,8,7,7.0,5
2048,158,16,11,6.0,8,5,10.0,8
2048,289,16,10,6.0,8,6,10.0,8
2048,548,16,9,6.0,8,7,10.0,8
2048,1132,16,7,6.0,8,9,10.0,8
2048,2079,12,6,6.0,8,6,6.0,4
4096,128,8,5,2.0,2,3,6.0,6
4096,256,8,5,2.0,2,3,6.0,6
4096,512,8,5,2.0,2,3,6.0,6
4096,1024,8,4,2.0,2,4,6.0,6
4096,2048,8,4,2.0,2,4,6.0,6
4096,158,8,5,2.0,2,3,6.0,6
4096,289,8,5,2.0,2,3,6.0,6
4096,548,8,5,2.0,2,3,6.0,6
4096,1132,8,4,2.0,2,4,6.0,6
4096,2079,8,4,2.0,2,4,6.0,6
8192,128,4,2,1.0,0,2,3.0,4
8192,256,4,2,1.0,0,2,3.0,4
8192,512,4,2,1.0,0,2,3.0,4
8192,1024,4,2,1.0,0,2,3.0,4
8192,2048,4,2,1.0,0,2,3.0,4
8192,158,4,2,1.0,0,2,3.0,4
8192,289,4,2,1.0,0,2,3.0,4
8192,548,4,2,1.0,0,2,3.0,4
8192,1132,4,2,1.0,0,2,3.0,4
8192,2079,4,2,1.0,0,2,3.0,4
1537,128,21,14,,13,7,,8
1537,256,21,13,,13,8,,8
1537,512,21,12,,13,9,,8
1537,1024,21,9,,13,12,,8
1537,2048,13,6,,13,7,,0
1537,158,21,14,,13,7,,8
1537,289,21,13,,13,8,,8
1537,548,21,11,,13,10,,8
1537,1132,19,9,,13,10,,6
1537,2079,13,6,,13,7,,0
2347,128,14,10,,6,4,,8
2347,256,14,9,,6,5,,8
2347,512,14,8,,6,6,,8
2347,1024,14,7,,6,7,,8
2347,2048,13,5,,6,8,,7
2347,158,14,9,,6,5,,8
2347,289,14,9,,6,5,,8
2347,548,14,8,,6,6,,8
2347,1132,14,7,,6,7,,8
2347,2079,13,5,,6,8,,7
5139,128,7,4,,1,3,,6
5139,256,7,4,,1,3,,6
5139,512,7,4,,1,3,,6
5139,1024,7,4,,1,3,,6
5139,2048,7,3,,1,4,,6
5139,158,7,4,,1,3,,6
5139,289,7,4,,1,3,,6
5139,548,7,4,,1,3,,6
5139,1132,7,3,,1,4,,6
5139,2079,7,3,,1,4,,6
7133,128,5,3,,0,2,,5
7133,256,5,3,,0,2,,5
7133,512,5,3,,0,2,,5
7133,1024,5,3,,0,2,,5
7133,2048,5,2,,0,3,,5
7133,158,5,3,,0,2,,5
7133,289,5,3,,0,2,,5
7133,548,5,3,,0,2,,5
7133,1132,5,3,,0,2,,5
7133,2079,5,2,,0,3,,5
