,model,balanced_accuracy,accuracy,cohen_kappa
0,Qwen3-1.7B,0.5099923867529501,0.85,0.03250773993808065
1,checkpoint-1000,0.5570993528740008,0.74,0.09972299168975074
2,checkpoint-2000,0.5388910036797361,0.728,0.06726654230220563
3,checkpoint-3000,0.5488833904326862,0.726,0.08255651987570989
4,checkpoint-4000,0.544474051516305,0.728,0.07618737093794159
5,checkpoint-5000,0.5377172947595483,0.726,0.0649230097193404
6,checkpoint-16000,0.5376855728968405,0.764,0.07453883799723926
7,checkpoint-17000,0.5321025250602716,0.764,0.06420505012054312
8,checkpoint-18000,0.5400329907372161,0.768,0.08006598147443222
9,checkpoint-19000,0.5321025250602716,0.764,0.06420505012054312
10,checkpoint-20000,0.5379710696612104,0.774,0.07812296044902745
11,checkpoint-187466,0.5737850526582922,0.816,0.16823376247649358
12,checkpoint-374932,0.5793681004948611,0.816,0.17868875874875012
13,checkpoint-562398,0.5752442583428499,0.828,0.18076512726718486
14,qwen-mixtral-epoch-1,0.5,0.852,0.0
15,qwen-mixtral-epoch-2,0.5,0.852,0.0
16,qwen-mixtral-epoch-3,0.5,0.852,0.0
17,checkpoint-20468,0.5,0.852,0.0
18,checkpoint-40936,0.5,0.852,0.0
19,checkpoint-61404,0.5,0.852,0.0
20,checkpoint-141324,0.5575117370892019,0.246,0.037046875638563126
21,checkpoint-282648,0.6089328765385102,0.6,0.1207709080678061
22,checkpoint-423972,0.6130249968278138,0.626,0.13226668646521655
23,checkpoint-2164,0.5,0.852,0.0
24,checkpoint-4328,0.6548344118766654,0.878,0.39029265952342873
25,checkpoint-6492,0.6962631645730237,0.882,0.45620115027282115
