,model,mean_cosine_similarity,std_cosine_similarity,num_generations
0,Qwen3-1.7B,0.7143409042346294,0.0009888251537210624,2
1,checkpoint-1000,0.25554266609792564,0.05001944018735498,22
2,checkpoint-2000,0.24774919827630884,0.04565106010565002,20
3,checkpoint-3000,0.2517358512914653,0.046198807663607025,22
4,checkpoint-4000,0.24841750211299832,0.044651012030875764,21
5,checkpoint-5000,0.24774919827630884,0.04565106010565002,20
6,checkpoint-16000,0.24397834047918823,0.04780438453342244,16
7,checkpoint-17000,0.2446094564603736,0.049307574210797324,15
8,checkpoint-18000,0.24397834047918823,0.04780438453342244,16
9,checkpoint-19000,0.2446094564603736,0.049307574210797324,15
10,checkpoint-20000,0.2446094564603736,0.049307574210797324,15
11,checkpoint-187466,0.7099559431953056,0.15316288837406805,17
12,checkpoint-374932,0.7184511989288278,0.16325253228555284,18
13,checkpoint-562398,0.6787300400956789,0.19883850813845078,16
14,checkpoint-141324,0.2538979401212712,0.04956811510613817,74
15,checkpoint-282648,0.2607725576402489,0.05400363456751248,46
16,checkpoint-423972,0.26223144668775994,0.05369216932111127,44
17,checkpoint-4328,0.8278854742670202,0.10788788651507686,25
18,checkpoint-6492,0.8241703143973107,0.07955692727320686,32
